DEBT,NETWORTH,HOUSES,NFIN,ASSET
3000.0,4100.0,0.0,6700.0,7100.0
85000.0,40800.0,115000.0,125400.0,125800.0
85000.0,40840.0,115000.0,125400.0,125840.0
85000.0,40790.0,115000.0,125400.0,125790.0
85000.0,40860.0,115000.0,125400.0,125860.0
85000.0,40560.0,115000.0,125300.0,125560.0
0.0,790.0,0.0,0.0,790.0
0.0,790.0,0.0,0.0,790.0
0.0,780.0,0.0,0.0,780.0
0.0,790.0,0.0,0.0,790.0
0.0,780.0,0.0,0.0,780.0
522000.0,1770000.0,1100000.0,1170000.0,2292000.0
522000.0,1765920.0,1100000.0,1169000.0,2287920.0
522000.0,1768250.0,1100000.0,1169000.0,2290250.0
522000.0,1774000.0,1100000.0,1170000.0,2296000.0
522000.0,1771100.0,1100000.0,1170000.0,2293100.0
1400.0,10600.0,0.0,0.0,12000.0
1400.0,10600.0,0.0,0.0,12000.0
1400.0,10600.0,0.0,0.0,12000.0
1400.0,10600.0,0.0,0.0,12000.0
1400.0,10600.0,0.0,0.0,12000.0
99200.0,64400.0,130000.0,159100.0,163600.0
99200.0,65300.0,130000.0,160000.0,164500.0
99200.0,63300.0,130000.0,158000.0,162500.0
99200.0,64400.0,130000.0,159100.0,163600.0
99200.0,65400.0,130000.0,160100.0,164600.0
914400.0,-888040.0,0.0,13000.0,26360.0
915600.0,-886210.0,0.0,16000.0,29390.0
905500.0,-877110.0,0.0,15000.0,28390.0
920200.0,-892800.0,0.0,13000.0,27400.0
869300.0,-840890.0,0.0,15000.0,28410.0
33150.0,-8250.0,0.0,19000.0,24900.0
33490.0,-5970.0,0.0,19000.0,27520.0
33150.0,-10540.0,0.0,20000.0,22610.0
33150.0,-11130.0,0.0,20000.0,22020.0
33540.0,-11830.0,0.0,19000.0,21710.0
359000.0,346000.0,440000.0,470000.0,705000.0
360000.0,356800.0,440000.0,470000.0,716800.0
360000.0,355000.0,440000.0,470000.0,715000.0
360000.0,408000.0,440000.0,470000.0,768000.0
359000.0,361000.0,440000.0,470000.0,720000.0
41000.0,-550.0,0.0,29000.0,40450.0
41000.0,-1550.0,0.0,28000.0,39450.0
41000.0,-1550.0,0.0,28000.0,39450.0
40000.0,-550.0,0.0,28000.0,39450.0
42000.0,-2550.0,0.0,28000.0,39450.0
116900.0,162720.0,160000.0,224200.0,279620.0
118000.0,161610.0,160000.0,224200.0,279610.0
118000.0,161610.0,160000.0,224200.0,279610.0
119900.0,158710.0,160000.0,223200.0,278610.0
118900.0,160710.0,160000.0,224200.0,279610.0
0.0,870.0,0.0,0.0,870.0
